,index,redirect_url,description,title,posted_date,company,area_json,location,retrieved_date,raw_payload,job_hash,ai_score,model_version,ai_justification,prompt_version,model_implementation
19,19,https://www.adzuna.fr/details/5518686776?utm_medium=api&utm_source=ef4a1e8d,"description du poste nous recherchons un(e) ia & genai engineer pour rejoindre notre direction ""conseil, innovation et développement"". vos missions : idéation de cas d’usage ia, contribution au cadrage et expression de besoin ia réalisation de cas d'usage ia et ia-gen (llm, rag…) sous forme de (poc, pilote ) conception et développement de prototypes ml/dl/nlp/ia-gen accompagnement technique/méthodologique sur des avant-ventes veille technologique & méthodologique, partage des avancées contribut…",ia & genai engineer (f/h),2025-11-29,LINCOLN,"[""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Boulogne-Billancourt""]","Boulogne-Billancourt, Hauts-de-Seine",2025-12-18,"{""description"": ""Description du poste Nous recherchons un(e) IA & GenAI Engineer pour rejoindre notre Direction \""Conseil, Innovation et D\u00e9veloppement\"". Vos missions : Id\u00e9ation de cas d\u2019usage IA, contribution au cadrage et expression de besoin IA R\u00e9alisation de cas d'usage IA et IA-Gen (LLM, RAG\u2026) sous forme de (POC, pilote ) Conception et d\u00e9veloppement de prototypes ML/DL/NLP/IA-Gen Accompagnement technique/m\u00e9thodologique sur des avant-ventes Veille technologique & m\u00e9thodologique, partage des avanc\u00e9es Contribut\u2026"", ""longitude"": 2.24344, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUxODY4Njc3NiIsInMiOiIxQVhpcFFIYzhCR0NPTVNFRjVRVENBIn0.lEpgWsRAUij-r-cfykXDlKyqKv67fILysnFSdrT3N14"", ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""engineering-jobs"", ""label"": ""Emplois Ing\u00e9nierie""}, ""id"": ""5518686776"", ""redirect_url"": ""https://www.adzuna.fr/details/5518686776?utm_medium=api&utm_source=ef4a1e8d"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""created"": ""2025-11-29T02:03:36Z"", ""salary_is_predicted"": ""0"", ""company"": {""display_name"": ""LINCOLN"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""title"": ""IA & GenAI Engineer (F/H)"", ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Boulogne-Billancourt, Hauts-de-Seine"", ""area"": [""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Boulogne-Billancourt""]}, ""latitude"": 48.83381}",1217850634800423313,7,gpt-3.5-turbo,"Match: 7/10
Justification: The job posting aligns well with the user's ideal job description of building infrastructure for data science and AI services. However, the job title and description may not directly match the user's preferred job titles of Cloud engineer, Data engineer, ML engineer.",v1,LLM_scoring
20,20,https://www.adzuna.fr/details/5475732444?utm_medium=api&utm_source=ef4a1e8d,"présentation de l'entreprise: nexys recrutement, cabinet spécialisé dans l’informatique et le digital, recherche pour l’un de ses clients un data analyst pour accompagner ses équipes dans l’exploitation et l’analyse de données stratégiques. mission du poste: collecter, nettoyer et fiabiliser de gros volumes de données issues de systèmes variés (crm, erp, logs applicatifs…) concevoir et maintenir des tableaux de bord et rapports interactifs (power bi, tableau, looker, qlik) réaliser des analyses…",data analyst it,2025-11-01,NEXYS RECRUTEMENT,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-12-18,"{""salary_min"": 30000, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""it-jobs"", ""label"": ""Emplois Informatique""}, ""created"": ""2025-11-01T20:45:50Z"", ""location"": {""area"": [""France"", ""Ile-de-France"", ""Paris""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Paris, Ile-de-France""}, ""title"": ""Data Analyst IT"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Nexys Recrutement""}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiMUFYaXBRSGM4QkdDT01TRUY1UVRDQSIsImkiOiI1NDc1NzMyNDQ0In0.BDAzcu7nAxwXVAhvMIdLhp0GenepJl3BxnpSPRIE4J0"", ""description"": ""Pr\u00e9sentation de l'entreprise: Nexys Recrutement, cabinet sp\u00e9cialis\u00e9 dans l\u2019informatique et le digital, recherche pour l\u2019un de ses clients un Data Analyst pour accompagner ses \u00e9quipes dans l\u2019exploitation et l\u2019analyse de donn\u00e9es strat\u00e9giques. Mission du poste: Collecter, nettoyer et fiabiliser de gros volumes de donn\u00e9es issues de syst\u00e8mes vari\u00e9s (CRM, ERP, logs applicatifs\u2026) Concevoir et maintenir des tableaux de bord et rapports interactifs (Power BI, Tableau, Looker, Qlik) R\u00e9aliser des analyses\u2026"", ""longitude"": 2.344631, ""__CLASS__"": ""Adzuna::API::Response::Job"", ""id"": ""5475732444"", ""redirect_url"": ""https://www.adzuna.fr/details/5475732444?utm_medium=api&utm_source=ef4a1e8d"", ""salary_is_predicted"": ""0"", ""latitude"": 48.863839, ""contract_type"": ""permanent"", ""salary_max"": 34800}",2157594520084120145,3,gpt-3.5-turbo,"Match Score: 3
Justification: The job posting is more focused on data analysis and reporting rather than building infrastructure for data science and AI services, which may not align well with the user's ideal job description as a Cloud, Data, or ML engineer.",v1,LLM_scoring
21,4,https://www.adzuna.fr/details/5489200405?utm_medium=api&utm_source=ef4a1e8d,"le candidat sera impliqué dans les sujets data, tels que l’intégration et le déploiement d’applications en data science et ia, avec une dimension data ops dominante. les responsabilités incluront : travailler en étroite collaboration avec l’équipe sur les projets de data engineering et etl contribuer aux projets d’intelligence artificielle, avec un intérêt particulier pour les réseaux de langages utiliser python et ses librairies pour la data science et le fine tuning de modèles gérer la commun…",data / ml engineer - junior,2025-11-10,ERIDANIS,"[""France"", ""Ile-de-France"", ""Paris"", ""8\u00e8me Arrondissement""]","8ème Arrondissement, Paris",2025-12-18,"{""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/details/5489200405?utm_medium=api&utm_source=ef4a1e8d"", ""category"": {""tag"": ""it-jobs"", ""label"": ""Emplois Informatique"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""longitude"": 2.3365, ""latitude"": 48.8814, ""id"": ""5489200405"", ""description"": ""Le candidat sera impliqu\u00e9 dans les sujets data, tels que l\u2019int\u00e9gration et le d\u00e9ploiement d\u2019applications en data science et IA, avec une dimension data ops dominante. Les responsabilit\u00e9s incluront : Travailler en \u00e9troite collaboration avec l\u2019\u00e9quipe sur les projets de data engineering et ETL Contribuer aux projets d\u2019intelligence artificielle, avec un int\u00e9r\u00eat particulier pour les r\u00e9seaux de langages Utiliser Python et ses librairies pour la data science et le fine tuning de mod\u00e8les G\u00e9rer la commun\u2026"", ""contract_time"": ""full_time"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Eridanis""}, ""salary_is_predicted"": ""0"", ""title"": ""Data / ML Engineer - Junior"", ""location"": {""area"": [""France"", ""Ile-de-France"", ""Paris"", ""8\u00e8me Arrondissement""], ""display_name"": ""8\u00e8me Arrondissement, Paris"", ""__CLASS__"": ""Adzuna::API::Response::Location""}, ""created"": ""2025-11-10T11:47:30Z"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkYwUXB3SGM4QkdOT1BOUGFvamVtdyIsImkiOiI1NDg5MjAwNDA1In0.D_KWJrEFYnQhwu49PE7bnG1WzCOBxEu_Dl9FC5L22Cc""}",368407984339313138,7,gpt-3.5-turbo,"Match Score: 7

Justification: The job posting aligns well with the user's skills and ideal job description, focusing on data engineering, AI, and Python. However, the level of experience required may be slightly higher than the user's 1-2 years.",v1,LLM_scoring
22,5,https://www.adzuna.fr/details/5515527714?utm_medium=api&utm_source=ef4a1e8d,"nous sommes à la recherche deux consultants de haut niveau spécialisés en data engineering, disposant d?une expertise approfondie dans les technologies python, data, genai, aws (kinesis, s3, emr, etc.), airflow, terraform, gitlab ci/cd, python ainsi qu?une solide maîtrise de sql, snowflake et les architectures data streaming. une expertise en scala et spark serait fortement appréciée. il sera chargé de concevoir et développer des pipelines de données, développer sur des chatbots ai dans un envi…",data engineer python (it),2025-11-27,LÙKLA,"[""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Boulogne-Billancourt"", ""Saint-Cloud""]","Saint-Cloud, Boulogne-Billancourt",2025-12-18,"{""__CLASS__"": ""Adzuna::API::Response::Job"", ""longitude"": 2.24344, ""salary_max"": 45000, ""title"": ""DATA ENGINEER Python (IT)"", ""company"": {""display_name"": ""L\u00f9kla"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""redirect_url"": ""https://www.adzuna.fr/details/5515527714?utm_medium=api&utm_source=ef4a1e8d"", ""id"": ""5515527714"", ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""it-jobs"", ""label"": ""Emplois Informatique""}, ""latitude"": 48.83381, ""salary_is_predicted"": ""0"", ""description"": ""Nous sommes \u00e0 la recherche deux consultants de haut niveau sp\u00e9cialis\u00e9s en Data Engineering, disposant d?une expertise approfondie dans les technologies Python, Data, GenAI, AWS (Kinesis, S3, EMR, etc.), Airflow, Terraform, GitLab CI/CD, Python ainsi qu?une solide ma\u00eetrise de SQL, Snowflake et les architectures Data Streaming. Une expertise en Scala et Spark serait fortement appr\u00e9ci\u00e9e. Il sera charg\u00e9 de concevoir et d\u00e9velopper des pipelines de donn\u00e9es, d\u00e9velopper sur des chatbots AI dans un envi\u2026"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkYwUXB3SGM4QkdOT1BOUGFvamVtdyIsImkiOiI1NTE1NTI3NzE0In0.5Rpea6kiJpVqTafgW3tEoGeq7F2993A7pkDE2agJp-E"", ""salary_min"": 40000, ""contract_type"": ""permanent"", ""location"": {""display_name"": ""Saint-Cloud, Boulogne-Billancourt"", ""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Boulogne-Billancourt"", ""Saint-Cloud""]}, ""created"": ""2025-11-27T00:39:16Z""}",813240264991164575,7,gpt-3.5-turbo,"Match Score: 7

Justification: The job posting aligns well with the user's ideal job description and skills, but the required expertise in Scala and Spark may be a slight mismatch.",v1,LLM_scoring
23,6,https://www.adzuna.fr/details/5515527712?utm_medium=api&utm_source=ef4a1e8d,"bonjour ?? nous recherchons un data engineer orienté sur les technologies spark / scala / python/ aws pour le compte de notre client ! mission : maintenir la plateforme en conditions opérationnelles : garantir la disponibilité des données et des services de la plateforme, assurer la communication avec les utilisateurs de la plateforme, répondre aux demandes de données (données ad hoc, analyses d?anomalies), développer les correctifs et évolutions nécessaires, contribuer à la qualité des données…",data engineer aws / spark / scala /python (it),2025-11-27,UCASE CONSULTING,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-12-18,"{""title"": ""Data Engineer AWS / Spark / Scala /Python (IT)"", ""company"": {""display_name"": ""UCASE CONSULTING"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""longitude"": 2.344631, ""salary_max"": 56000, ""__CLASS__"": ""Adzuna::API::Response::Job"", ""salary_min"": 40000, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkYwUXB3SGM4QkdOT1BOUGFvamVtdyIsImkiOiI1NTE1NTI3NzEyIn0.u55P16Fg3o1f77gkv9KkuMFEsyhWd1D5m-2GfRZc1m4"", ""contract_type"": ""permanent"", ""location"": {""display_name"": ""Paris, Ile-de-France"", ""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Ile-de-France"", ""Paris""]}, ""created"": ""2025-11-27T00:39:16Z"", ""salary_is_predicted"": ""0"", ""description"": ""Bonjour ?? Nous recherchons un DATA ENGINEER orient\u00e9 sur les technologies SPARK / SCALA / PYTHON/ AWS pour le compte de notre client ! Mission : Maintenir la plateforme en conditions op\u00e9rationnelles : Garantir la disponibilit\u00e9 des donn\u00e9es et des services de la plateforme, Assurer la communication avec les utilisateurs de la plateforme, R\u00e9pondre aux demandes de donn\u00e9es (donn\u00e9es ad hoc, analyses d?anomalies), D\u00e9velopper les correctifs et \u00e9volutions n\u00e9cessaires, Contribuer \u00e0 la qualit\u00e9 des donn\u00e9es\u2026"", ""id"": ""5515527712"", ""category"": {""label"": ""Emplois Informatique"", ""tag"": ""it-jobs"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""latitude"": 48.863839, ""redirect_url"": ""https://www.adzuna.fr/details/5515527712?utm_medium=api&utm_source=ef4a1e8d""}",4495328927435860158,7,gpt-3.5-turbo,"Match Score: 7
Justification: The job posting aligns well with the user's ideal job description and skills in Python, Cloud, and SQL. However, the job may require more experience than the user's 1-2 years.",v1,LLM_scoring
24,7,https://www.adzuna.fr/land/ad/5460067015?se=6F0QpwHc8BGNOPNPaojemw&utm_medium=api&utm_source=ef4a1e8d&v=AB82E43874E67F56CEAF97D3A0C400F08644CE72,"résumé : rattaché à l'équipe centrale de bi dans le pôle data, votre rôle est de développer le datawarehouse de l'entreprise pour permettre à toutes les équipes métier d'accéder aux données nécessaires à leur exploitation. vous participez à part entières aux différents projets métiers (intégration de nouvelles solutions, optimisation de traitements, améliorations des solutions existantes etc.) tâches de base : - maintenir les chaînes de traitement existantes (ssis, snowsql, python), assurer la …",data engineer h/f,2025-10-23,KARAVEL GROUPE,"[""France"", ""Ile-de-France"", ""Paris"", ""10\u00e8me Arrondissement""]","10ème Arrondissement, Paris",2025-12-18,"{""location"": {""area"": [""France"", ""Ile-de-France"", ""Paris"", ""10\u00e8me Arrondissement""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""10\u00e8me Arrondissement, Paris""}, ""created"": ""2025-10-23T04:05:16Z"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkYwUXB3SGM4QkdOT1BOUGFvamVtdyIsImkiOiI1NDYwMDY3MDE1In0.cZD4f4q4yhJqXrsGtZp4JGT3rpV8eUkEBHlMhO0CIK4"", ""company"": {""display_name"": ""KARAVEL GROUPE"", ""__CLASS__"": ""Adzuna::API::Response::Company""}, ""description"": ""R\u00e9sum\u00e9 : Rattach\u00e9 \u00e0 l'\u00e9quipe centrale de BI dans le p\u00f4le Data, votre r\u00f4le est de d\u00e9velopper le DataWarehouse de l'entreprise pour permettre \u00e0 toutes les \u00e9quipes m\u00e9tier d'acc\u00e9der aux donn\u00e9es n\u00e9cessaires \u00e0 leur exploitation. Vous participez \u00e0 part enti\u00e8res aux diff\u00e9rents projets m\u00e9tiers (int\u00e9gration de nouvelles solutions, Optimisation de traitements, Am\u00e9liorations des solutions existantes etc.) T\u00e2ches de base : - Maintenir les cha\u00eenes de traitement existantes (SSIS, SnowSQL, Python), assurer la \u2026"", ""salary_is_predicted"": ""0"", ""title"": ""Data Engineer H/F"", ""latitude"": 48.87174, ""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""hospitality-catering-jobs"", ""label"": ""Emplois Hospitalit\u00e9 et Restauration""}, ""longitude"": 2.35713, ""id"": ""5460067015"", ""redirect_url"": ""https://www.adzuna.fr/land/ad/5460067015?se=6F0QpwHc8BGNOPNPaojemw&utm_medium=api&utm_source=ef4a1e8d&v=AB82E43874E67F56CEAF97D3A0C400F08644CE72"", ""__CLASS__"": ""Adzuna::API::Response::Job""}",4350322804916714792,7,gpt-3.5-turbo,"Match Score: 7

Justification: The job posting aligns well with the user's ideal job description of building infrastructure for data science and AI services. The required skills of Python, Cloud, and SQL also match the user's profile. However, the job posting does not specify the level of experience required, which may impact the match score.",v1,LLM_scoring
25,8,https://www.adzuna.fr/details/5502476357?utm_medium=api&utm_source=ef4a1e8d,"contexte : dans le cadre du développement de nos projets ia, nous recherchons un data scientist expérimenté maîtrisant vertex ai et les technologies modernes de modélisation et d?industrialisation. missions : développement et entraînement de modèles ml/ia (supervisé, non supervisé, deep learning). utilisation avancée de vertex ai (training, pipelines, model registry, monitoring). participation à la construction de solutions génératives ou prédictives (llm, nlp, time series, recommendation?). pr…",data scientist (it),2025-11-18,UCASE CONSULTING,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-12-18,"{""redirect_url"": ""https://www.adzuna.fr/details/5502476357?utm_medium=api&utm_source=ef4a1e8d"", ""id"": ""5502476357"", ""latitude"": 48.863839, ""category"": {""label"": ""Emplois Informatique"", ""tag"": ""it-jobs"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""salary_is_predicted"": ""0"", ""description"": ""Contexte : Dans le cadre du d\u00e9veloppement de nos projets IA, nous recherchons un Data Scientist exp\u00e9riment\u00e9 ma\u00eetrisant Vertex AI et les technologies modernes de mod\u00e9lisation et d?industrialisation. Missions : D\u00e9veloppement et entra\u00eenement de mod\u00e8les ML/IA (supervis\u00e9, non supervis\u00e9, deep learning). Utilisation avanc\u00e9e de Vertex AI (training, pipelines, model registry, monitoring). Participation \u00e0 la construction de solutions g\u00e9n\u00e9ratives ou pr\u00e9dictives (LLM, NLP, time series, recommendation?). Pr\u2026"", ""contract_type"": ""permanent"", ""salary_min"": 40000, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkYwUXB3SGM4QkdOT1BOUGFvamVtdyIsImkiOiI1NTAyNDc2MzU3In0.RyDlP_Y7UnOBGKm5utRtWVKlHfdsOnDbxJW0QXiePzY"", ""created"": ""2025-11-18T21:31:35Z"", ""location"": {""area"": [""France"", ""Ile-de-France"", ""Paris""], ""display_name"": ""Paris, Ile-de-France"", ""__CLASS__"": ""Adzuna::API::Response::Location""}, ""__CLASS__"": ""Adzuna::API::Response::Job"", ""salary_max"": 45000, ""longitude"": 2.344631, ""title"": ""DATA SCIENTIST (IT)"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Ucase Consulting""}}",10450483279904713247,2,gpt-3.5-turbo,"Score: 2
Justification: The job posting is more focused on data science and AI modeling using Vertex AI, which is not directly aligned with the user's ideal job of building infrastructure for data science and AI services.",v1,LLM_scoring
26,10,https://www.adzuna.fr/details/5520182265?utm_medium=api&utm_source=ef4a1e8d,"visian, cabinet de conseil spécialisé en innovation, design produit, et data, recherche pour son client, grand acteur du secteur de l’énergie, un data engineer pour rejoindre ses équipes sur un projet innovant. vous avez un esprit analytique et une passion pour les projets it et data ? vous aimez être au cœur des échanges entre équipes techniques et métiers tout en pilotant des projets stratégiques ? rejoignez visian , cabinet de conseil spécialisé en innovation, design produit, gestion de proj…",data engineer cloud,2025-11-30,VISIAN,"[""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Courbevoie"", ""La D\u00e9fense""]","La Défense, Courbevoie",2025-12-18,"{""category"": {""__CLASS__"": ""Adzuna::API::Response::Category"", ""tag"": ""unknown"", ""label"": ""Unknown""}, ""latitude"": 48.89683, ""id"": ""5520182265"", ""redirect_url"": ""https://www.adzuna.fr/details/5520182265?utm_medium=api&utm_source=ef4a1e8d"", ""created"": ""2025-11-30T18:04:46Z"", ""location"": {""display_name"": ""La D\u00e9fense, Courbevoie"", ""__CLASS__"": ""Adzuna::API::Response::Location"", ""area"": [""France"", ""Ile-de-France"", ""Hauts-de-Seine"", ""Nanterre"", ""Courbevoie"", ""La D\u00e9fense""]}, ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUyMDE4MjI2NSIsInMiOiI2RjBRcHdIYzhCR05PUE5QYW9qZW13In0.PLeXizBFq3oLBj0fvpi1FQN1z7PHJ4Bvzd0mJKKTa6Q"", ""salary_min"": 45000, ""contract_time"": ""full_time"", ""description"": ""Visian, cabinet de conseil sp\u00e9cialis\u00e9 en Innovation, Design Produit, et Data, recherche pour son client, grand acteur du secteur de l\u2019\u00e9nergie, un Data Engineer pour rejoindre ses \u00e9quipes sur un projet innovant. Vous avez un esprit analytique et une passion pour les projets IT et Data ? Vous aimez \u00eatre au c\u0153ur des \u00e9changes entre \u00e9quipes techniques et m\u00e9tiers tout en pilotant des projets strat\u00e9giques ? Rejoignez Visian , cabinet de conseil sp\u00e9cialis\u00e9 en innovation, design produit, gestion de proj\u2026"", ""salary_is_predicted"": ""0"", ""longitude"": 2.25651, ""salary_max"": 65000, ""__CLASS__"": ""Adzuna::API::Response::Job"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""Visian""}, ""title"": ""Data Engineer Cloud""}",6546366983237160452,7,gpt-3.5-turbo,"Score: 7
Justification: The job posting aligns well with the user's ideal job description of building infrastructure for data science and AI services. The job title and company also match the user's profile.",v1,LLM_scoring
27,11,https://www.adzuna.fr/details/5539168066?utm_medium=api&utm_source=ef4a1e8d,"ce que vous ferez au quotidien : - concevoir et optimiser des pipelines de données robustes. - automatiser les flux via des scripts (python, bash, powershell, ou autre…). - intégrer des données issues de sources variées dans des datalakes ou data warehouses. - gérer et sécuriser les bases de données et les environnements cloud. - travailler avec des outils comme spark, hadoop, kafka, databricks, ou autres… - mettre en place des solutions big data à l'échelle. - veiller à la qualité, la sécurité…",data engineer expérimenté (cdi),2025-12-12,EASEL TECH,"[""France"", ""Ile-de-France"", ""Paris""]","Paris, Ile-de-France",2025-12-18,"{""redirect_url"": ""https://www.adzuna.fr/details/5539168066?utm_medium=api&utm_source=ef4a1e8d"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""latitude"": 48.863839, ""longitude"": 2.344631, ""category"": {""tag"": ""it-jobs"", ""label"": ""Emplois Informatique"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""id"": ""5539168066"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""EASEL TECH""}, ""description"": ""Ce que vous ferez au quotidien : - Concevoir et optimiser des pipelines de donn\u00e9es robustes. - Automatiser les flux via des scripts (Python, Bash, PowerShell, ou autre\u2026). - Int\u00e9grer des donn\u00e9es issues de sources vari\u00e9es dans des Datalakes ou Data Warehouses. - G\u00e9rer et s\u00e9curiser les bases de donn\u00e9es et les environnements cloud. - Travailler avec des outils comme Spark, Hadoop, Kafka, Databricks, ou autres\u2026 - Mettre en place des solutions Big Data \u00e0 l'\u00e9chelle. - Veiller \u00e0 la qualit\u00e9, la s\u00e9curit\u00e9\u2026"", ""contract_time"": ""full_time"", ""title"": ""Data Engineer exp\u00e9riment\u00e9 (CDI)"", ""salary_is_predicted"": ""0"", ""location"": {""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Paris, Ile-de-France"", ""area"": [""France"", ""Ile-de-France"", ""Paris""]}, ""created"": ""2025-12-12T06:37:54Z"", ""contract_type"": ""permanent"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJzIjoiNkYwUXB3SGM4QkdOT1BOUGFvamVtdyIsImkiOiI1NTM5MTY4MDY2In0.96nuN5mB9Gg-aTFbZ3QAoGON_2Z8Ctg4Sm1wBpky4p0""}",9341301092077671809,8,gpt-3.5-turbo,"Match: 8
Justification: This job posting aligns well with the user's ideal job description and skills, focusing on building infrastructure for data services using Python, Cloud, and SQL. The job also requires 1-2 years of experience, which matches the user's level.",v1,LLM_scoring
28,12,https://www.adzuna.fr/details/5500465857?utm_medium=api&utm_source=ef4a1e8d,"les missions : développement et mise en place d'agents ia pour répondre à des besoins opérationnels - assistant pour techniciens de maintenance : chatbot ou agent ia capable de fournir des procédures, diagnostiquer des pannes simples et suggérer des pièces de rechange. - optimisation des tournées : algorithme ia pour planifier les déplacements des équipes en fonction des contraintes géographiques, des urgences et des disponibilités. - synthèse de data room : mise en place d'outils l'ia de synth…",ingénieur data & intelligence artificielle (h/f),2025-11-17,KEON,"[""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""Nantes"", ""Saint-Herblain""]","Saint-Herblain, Nantes",2025-12-18,"{""category"": {""label"": ""Unknown"", ""tag"": ""unknown"", ""__CLASS__"": ""Adzuna::API::Response::Category""}, ""longitude"": -1.62319, ""latitude"": 47.1794, ""id"": ""5500465857"", ""__CLASS__"": ""Adzuna::API::Response::Job"", ""redirect_url"": ""https://www.adzuna.fr/details/5500465857?utm_medium=api&utm_source=ef4a1e8d"", ""location"": {""area"": [""France"", ""Pays de la Loire"", ""Loire-Atlantique"", ""Nantes"", ""Saint-Herblain""], ""__CLASS__"": ""Adzuna::API::Response::Location"", ""display_name"": ""Saint-Herblain, Nantes""}, ""created"": ""2025-11-17T18:20:44Z"", ""adref"": ""eyJhbGciOiJIUzI1NiJ9.eyJpIjoiNTUwMDQ2NTg1NyIsInMiOiI2RjBRcHdIYzhCR05PUE5QYW9qZW13In0.Fc3qmWnRPPk2VWulTFXwk8mVuG2gdUmdTmA33o6HSzQ"", ""description"": ""Les missions : D\u00e9veloppement et mise en place d'agents IA pour r\u00e9pondre \u00e0 des besoins op\u00e9rationnels - Assistant pour techniciens de maintenance : chatbot ou agent IA capable de fournir des proc\u00e9dures, diagnostiquer des pannes simples et sugg\u00e9rer des pi\u00e8ces de rechange. - Optimisation des tourn\u00e9es : algorithme IA pour planifier les d\u00e9placements des \u00e9quipes en fonction des contraintes g\u00e9ographiques, des urgences et des disponibilit\u00e9s. - Synth\u00e8se de DATA ROOM : Mise en place d'outils l'IA de synth\u2026"", ""company"": {""__CLASS__"": ""Adzuna::API::Response::Company"", ""display_name"": ""KEON""}, ""salary_is_predicted"": ""0"", ""title"": ""Ing\u00e9nieur Data & Intelligence Artificielle (H/F)""}",10864604445442773595,5,gpt-3.5-turbo,"Match: 5/10
The job posting involves working on AI projects, which aligns with the user's ideal job description. However, the focus on maintenance and scheduling may not fully utilize their skills in data science and AI services.",v1,LLM_scoring
